Province,District,Year,Commodity,Soil_pH,Soil_N_index,Soil_P_index,Soil_K_index,Area_Ha,Target_Yield_KgHa,Pupuk_Urea_kgHa,Pupuk_SP36_kgHa,Pupuk_KCl_kgHa
Kalimantan Timur,Balikpapan,2022,Jagung,6.13,3,3,3,63.28,7076.2,267.1,113.9,98.9
Jawa Barat,Cirebon,2025,Bawang Merah,5.43,2,2,2,2.55,12344.2,234.3,116.3,90.7
Sulawesi Barat,Mamuju Tengah,2022,Jagung,5.61,2,2,2,80.0,5828.1,280.4,115.0,70.6
DI Yogyakarta,Kulon Progo,2024,Cabai Rawit,5.99,3,2,4,1.89,11730.0,205.9,138.9,78.5
Jawa Barat,Sukabumi,2020,Bawang Merah,5.55,4,2,2,1.18,11650.7,254.8,123.8,74.5
Kalimantan Tengah,Kotawaringin Timur,2018,Cabai Rawit,5.2,3,3,1,5.37,9479.7,269.2,126.2,82.1
Jawa Barat,Sukabumi,2022,Cabai Rawit,5.99,3,2,3,2.13,10243.4,219.0,111.6,84.7
Kalimantan Tengah,Pulang Pisau,2023,Jagung,4.2,2,2,3,19.18,4254.7,260.2,87.2,69.4
Kalimantan Barat,Landak,2024,Bawang Merah,4.46,4,3,3,2.42,12588.4,276.8,111.7,100.4
Lampung,Pringsewu,2022,Jagung,5.72,4,2,2,20.15,4567.6,241.2,139.0,67.1
Sulawesi Utara,Manado,2019,Bawang Merah,5.85,3,3,2,3.69,13296.5,258.6,115.6,79.5
Aceh,Bireuen,2019,Tebu,5.91,2,3,1,44.17,90014.5,262.6,135.0,80.8
Maluku Utara,Ternate,2024,Jagung,5.59,3,2,1,80.0,4990.0,264.9,127.1,66.5
Sumatera Barat,Solok,2024,Jagung,4.59,2,1,2,10.48,8586.7,240.0,105.5,71.8
Sulawesi Selatan,Gowa,2021,Tebu,5.63,3,2,4,32.04,65967.5,257.9,122.2,66.2
Riau,Rokan Hilir,2021,Tebu,5.16,3,3,1,38.96,64263.7,228.0,124.9,88.2
Papua Barat Daya,Sorong Selatan,2022,Cabai Rawit,6.63,4,1,3,2.88,10207.2,226.3,96.8,73.0
Sumatera Selatan,Palembang,2020,Cabai Rawit,5.73,2,3,4,3.94,11244.4,224.9,114.0,90.3
Papua Pegunungan,Wamena,2025,Tebu,4.9,1,4,2,53.55,72329.9,283.7,121.2,71.7
Sumatera Utara,Langkat,2020,Bawang Merah,5.6,3,3,2,3.65,12874.4,268.7,118.2,88.9
Jambi,Kota Jambi,2025,Bawang Merah,5.29,2,1,3,2.86,7973.3,234.9,108.9,81.6
Sumatera Utara,Langkat,2021,Jagung,5.86,2,2,3,26.78,5983.2,248.7,103.4,64.7
Jawa Timur,Jember,2018,Bawang Merah,5.49,3,3,1,5.09,10150.8,218.2,118.4,93.8
Sulawesi Tenggara,Kendari,2024,Tebu,6.32,2,3,2,13.29,53954.6,225.9,107.8,78.3
Kalimantan Tengah,Kotawaringin Timur,2024,Tebu,5.13,1,2,3,130.97,98931.1,222.6,136.1,58.8
Sumatera Selatan,Ogan Komering Ilir,2019,Padi,5.68,4,4,3,36.28,8100.6,254.2,124.4,79.0
Kalimantan Barat,Pontianak,2021,Jagung,4.76,4,3,2,22.59,8703.3,216.8,106.4,60.9
Jawa Barat,Garut,2019,Jagung,6.12,1,2,2,19.72,3804.4,248.1,119.5,71.3
Papua Selatan,Asmat,2021,Padi,5.92,3,2,1,13.0,5697.8,228.2,148.6,53.9
Sulawesi Barat,Majene,2024,Tebu,6.03,4,3,2,33.7,72572.0,231.2,132.3,63.5
Papua Selatan,Asmat,2025,Jagung,4.31,1,2,4,17.85,6931.0,267.5,84.3,88.1
Kepulauan Riau,Bintan,2019,Jagung,5.36,3,1,3,18.48,4408.8,239.6,115.2,76.8
Kalimantan Utara,Nunukan,2024,Padi,5.99,2,1,1,20.14,4889.6,276.0,122.5,78.6
Aceh,Lhokseumawe,2021,Padi,5.55,1,1,3,22.54,5768.2,223.3,128.3,71.4
Papua Barat Daya,Maybrat,2019,Bawang Merah,4.47,3,2,4,4.21,11749.7,248.7,120.5,76.4
Nusa Tenggara Barat,Dompu,2022,Jagung,6.41,3,3,3,12.64,5527.2,203.2,115.7,76.7
Aceh,Aceh Utara,2022,Bawang Merah,5.34,5,3,1,4.17,8582.5,266.6,105.9,72.1
Kalimantan Utara,Bulungan,2023,Padi,4.56,1,3,3,14.86,6810.6,240.6,133.2,67.6
Riau,Kampar,2018,Tebu,5.46,2,3,3,29.4,65757.0,270.3,147.8,87.7
Sulawesi Barat,Mamuju Tengah,2024,Bawang Merah,5.23,2,1,2,11.47,9947.3,246.7,119.8,58.7
Maluku,Seram Bagian Timur,2018,Bawang Merah,5.33,3,1,3,8.0,11906.5,260.2,112.2,78.9
Banten,Pandeglang,2019,Bawang Merah,6.31,2,3,3,1.42,11052.6,239.9,147.3,82.5
Jawa Barat,Garut,2020,Bawang Merah,5.62,4,3,2,3.87,8807.8,224.1,87.0,83.6
DI Yogyakarta,Yogyakarta,2019,Jagung,6.07,1,1,3,8.38,8195.7,230.8,114.1,79.4
Papua,Keerom,2024,Padi,4.94,3,3,3,16.01,6610.3,265.9,132.6,83.7
Sulawesi Barat,Mamuju Tengah,2022,Padi,6.27,2,3,2,28.69,5301.6,241.7,166.2,83.5
Kalimantan Tengah,Kapuas,2018,Bawang Merah,4.87,3,2,3,1.69,9887.3,243.3,133.9,69.8
Kalimantan Utara,Nunukan,2018,Tebu,6.71,3,2,3,24.63,88274.6,247.4,127.5,88.1
Papua Pegunungan,Jayawijaya,2023,Jagung,4.77,3,5,4,15.38,6532.5,253.3,131.7,85.5
Sumatera Selatan,Ogan Komering Ulu,2018,Padi,5.21,3,4,3,26.89,5059.0,251.7,120.0,55.8
Gorontalo,Gorontalo Utara,2024,Padi,4.9,3,4,3,37.5,7288.1,247.9,106.3,59.0
Gorontalo,Gorontalo,2018,Cabai Rawit,4.72,2,3,1,2.93,10234.6,259.4,85.8,97.0
Sulawesi Barat,Mamasa,2019,Tebu,7.03,2,4,2,108.48,57503.4,281.8,126.2,81.6
Papua Barat,Teluk Wondama,2025,Cabai Rawit,5.08,3,2,1,7.11,10069.6,235.5,106.6,54.3
Papua,Keerom,2019,Bawang Merah,5.67,4,3,1,3.7,9507.9,273.1,125.7,92.2
Papua Pegunungan,Yalimo,2023,Padi,5.44,3,1,2,52.85,4692.5,248.3,136.6,97.1
Lampung,Lampung Timur,2019,Jagung,5.24,3,2,3,70.49,7293.6,221.7,115.2,80.8
Sulawesi Tengah,Morowali,2020,Jagung,6.68,2,4,4,14.6,7341.6,222.9,113.6,91.3
Bali,Klungkung,2025,Tebu,5.46,3,3,2,28.04,53246.6,254.0,133.6,86.0
Kepulauan Riau,Natuna,2021,Jagung,4.67,4,2,1,47.12,4234.6,238.0,122.7,91.9
Maluku,Buru,2019,Tebu,4.67,2,4,3,21.82,89943.2,199.9,94.5,80.6
Maluku,Buru,2020,Padi,4.34,2,2,3,10.45,3600.0,220.3,91.2,83.1
Jawa Tengah,Pati,2020,Jagung,5.2,2,3,4,13.43,4478.0,231.6,122.4,70.7
Sumatera Barat,Padang,2018,Padi,5.53,2,2,1,13.22,6880.7,256.0,123.5,101.7
Jawa Timur,Bojonegoro,2019,Tebu,5.45,2,3,3,19.87,96873.0,225.0,119.6,95.9
Jawa Barat,Garut,2024,Cabai Rawit,4.83,3,3,3,4.65,10069.7,234.2,101.0,60.1
Papua Barat,Teluk Wondama,2024,Bawang Merah,5.75,2,1,3,2.47,12555.0,235.9,138.3,91.2
Jambi,Tebo,2020,Tebu,6.0,3,3,1,61.04,90057.7,247.9,145.8,80.6
Jawa Tengah,Semarang,2021,Padi,5.91,3,3,4,16.27,7789.1,252.8,102.0,62.6
Nusa Tenggara Timur,Lembata,2023,Tebu,5.41,3,2,1,14.04,80151.3,254.8,110.4,85.4
Kalimantan Tengah,Kapuas,2018,Tebu,5.43,3,2,4,36.36,85907.2,262.9,111.7,81.6
Sulawesi Tengah,Sigi,2023,Padi,4.71,3,1,3,26.1,5574.9,243.7,113.6,88.9
Papua Barat Daya,Maybrat,2022,Cabai Rawit,4.51,3,2,2,7.3,11157.7,259.8,96.5,76.4
Nusa Tenggara Barat,Lombok Barat,2023,Padi,5.33,2,1,1,33.25,4459.1,273.6,139.7,101.8
Bengkulu,Mukomuko,2025,Bawang Merah,6.11,4,3,3,4.91,10313.8,232.1,144.0,74.8
Papua Tengah,Dogiyai,2020,Cabai Rawit,4.86,1,3,2,5.31,5846.2,260.2,122.7,85.5
Sulawesi Utara,Tomohon,2018,Bawang Merah,5.67,2,2,2,1.34,12621.9,222.7,117.7,71.8
Kepulauan Riau,Tanjung Pinang,2021,Cabai Rawit,5.11,1,2,2,3.51,9888.4,252.9,121.1,64.9
Sulawesi Utara,Manado,2022,Jagung,5.99,3,3,3,8.59,6730.4,284.7,147.9,70.5
Papua Barat,Teluk Bintuni,2024,Cabai Rawit,5.95,5,3,2,3.3,8673.9,259.5,131.2,90.5
Sulawesi Selatan,Bone,2024,Bawang Merah,5.2,1,2,4,5.0,9893.2,265.2,80.3,80.3
Sulawesi Utara,Minahasa Utara,2019,Tebu,5.9,1,1,5,28.67,64807.2,260.7,119.7,72.2
Kalimantan Selatan,Barito Kuala,2022,Cabai Rawit,4.87,2,3,2,3.69,6008.4,261.8,142.0,102.7
Nusa Tenggara Barat,Bima,2022,Padi,5.87,4,2,1,26.06,5839.9,273.1,137.1,70.2
Sumatera Selatan,Ogan Komering Ulu,2020,Jagung,5.66,4,3,3,12.29,9095.5,229.9,146.3,95.7
Kalimantan Timur,Balikpapan,2024,Jagung,4.33,3,3,1,27.22,5033.9,235.2,90.4,102.7
Papua,Jayapura,2020,Cabai Rawit,5.2,2,4,1,4.79,6639.9,258.5,133.5,64.3
Sulawesi Utara,Manado,2023,Bawang Merah,5.96,1,3,2,3.6,7727.5,208.1,128.6,82.4
Papua Selatan,Merauke,2022,Padi,5.47,2,2,1,42.27,5109.4,268.5,106.4,87.8
Sulawesi Utara,Manado,2024,Cabai Rawit,5.55,4,3,1,5.07,10414.5,260.3,122.1,89.2
Papua,Mamberamo Raya,2018,Padi,5.81,1,4,2,11.8,5244.4,231.7,118.2,76.3
Riau,Pekanbaru,2021,Jagung,5.01,3,2,3,19.07,4194.1,275.0,102.6,89.2
DI Yogyakarta,Sleman,2018,Padi,4.62,2,3,1,22.07,7203.4,263.2,109.2,82.6
Sumatera Barat,Solok,2018,Cabai Rawit,5.29,2,2,2,8.4,7408.9,257.6,150.0,77.5
Kalimantan Tengah,Kotawaringin Barat,2023,Jagung,4.2,3,4,3,30.26,7722.4,211.6,91.3,76.8
Kalimantan Barat,Sanggau,2022,Tebu,4.56,1,1,1,28.3,89040.9,216.2,140.1,89.6
Kalimantan Barat,Sanggau,2024,Tebu,5.15,4,3,2,62.23,51591.8,252.7,102.8,76.3
Banten,Serang,2024,Padi,6.9,3,3,2,24.41,4730.0,251.1,113.0,73.0
Sulawesi Barat,Mamasa,2024,Jagung,6.56,2,2,3,24.07,5710.8,236.0,81.1,89.8
Sulawesi Selatan,Gowa,2021,Padi,5.64,1,2,2,22.42,6403.9,250.8,90.3,82.0
Papua Barat,Fakfak,2024,Tebu,4.91,3,2,3,34.52,57231.7,248.9,136.0,92.7
Papua Pegunungan,Yalimo,2022,Bawang Merah,5.6,1,3,4,5.25,8763.0,261.8,131.0,83.0
Banten,Serang,2018,Cabai Rawit,5.03,1,2,3,5.57,11120.8,267.7,108.4,61.7
Bali,Gianyar,2025,Padi,5.93,3,2,3,16.32,6466.2,237.3,111.3,66.3
Nusa Tenggara Timur,Alor,2021,Cabai Rawit,5.83,2,2,3,3.4,7095.1,215.1,108.1,63.2
Maluku,Maluku Tengah,2019,Tebu,5.67,2,4,1,55.4,58164.4,227.8,134.2,80.6
Riau,Kampar,2021,Cabai Rawit,6.56,2,3,2,4.54,6326.1,283.9,117.7,72.3
Bali,Denpasar,2022,Bawang Merah,5.98,2,1,2,4.11,7686.7,221.8,132.7,87.0
Banten,Cilegon,2018,Tebu,7.21,2,2,3,36.76,80162.1,225.5,123.3,69.2
Sulawesi Tenggara,Muna,2018,Jagung,6.69,2,2,3,51.56,4844.2,293.4,141.6,78.5
Maluku,Ambon,2020,Bawang Merah,5.78,2,3,2,3.02,10831.2,246.5,135.3,93.4
Nusa Tenggara Barat,Lombok Timur,2020,Bawang Merah,6.6,1,5,2,1.97,8307.8,235.5,108.3,95.9
Papua Barat Daya,Sorong Selatan,2024,Cabai Rawit,5.74,4,2,2,8.05,11591.5,276.5,119.6,92.7
Sulawesi Tenggara,Buton,2024,Bawang Merah,4.7,2,4,4,4.84,11091.4,229.0,120.2,94.6
Sumatera Barat,Tanah Datar,2023,Padi,4.5,4,3,2,13.24,4375.3,263.3,98.8,94.1
Sulawesi Utara,Bolaang Mongondow,2019,Cabai Rawit,5.68,2,3,2,1.17,10686.0,236.8,121.1,82.6
Jawa Timur,Jember,2023,Tebu,6.31,2,3,3,36.32,94381.3,229.5,129.6,56.9
DKI Jakarta,Kep. Seribu,2025,Jagung,6.88,2,2,2,18.03,5512.3,230.9,140.1,79.6
Kalimantan Selatan,Banjar,2025,Tebu,4.79,3,2,4,58.18,69751.0,254.5,116.2,88.3
Kepulauan Riau,Batam,2018,Cabai Rawit,5.54,3,2,2,6.42,10049.9,237.5,143.8,89.0
Bangka Belitung,Belitung,2021,Jagung,5.47,3,2,2,26.28,5327.2,261.4,124.4,72.4
Papua,Mamberamo Raya,2024,Padi,5.04,1,3,4,19.89,5491.9,256.9,108.0,64.2
Sumatera Barat,Agam,2020,Jagung,6.55,3,2,4,30.04,4171.2,244.2,134.2,68.2
Papua Tengah,Nabire,2023,Cabai Rawit,5.35,3,2,2,2.25,7679.1,250.3,103.9,76.8
Maluku Utara,Ternate,2018,Jagung,6.18,2,3,1,7.86,4681.9,254.4,110.3,70.2
Kepulauan Riau,Tanjung Pinang,2023,Cabai Rawit,5.55,3,3,1,3.6,8243.6,235.9,115.8,77.4
Bengkulu,Bengkulu Utara,2022,Tebu,4.83,4,4,1,37.27,70787.3,283.4,132.0,74.2
Papua Barat Daya,Tambrauw,2022,Padi,5.49,2,3,3,13.62,6690.4,263.1,114.5,90.3
Sulawesi Selatan,Wajo,2019,Padi,5.94,1,3,1,21.53,7178.3,275.0,137.4,69.3
Sumatera Barat,Tanah Datar,2022,Tebu,6.12,1,2,2,54.91,61508.5,263.0,115.4,97.6
Jambi,Kota Jambi,2020,Jagung,5.55,4,3,3,16.8,6153.1,246.2,144.0,75.4
Lampung,Metro,2020,Padi,5.45,5,3,3,5.86,5885.4,255.7,92.2,83.1
Papua Barat,Fakfak,2023,Tebu,5.48,4,3,1,13.91,65469.8,203.6,117.1,61.9
Kepulauan Riau,Karimun,2022,Cabai Rawit,6.33,2,2,2,5.4,9289.4,238.8,80.0,57.3
Sulawesi Tengah,Sigi,2024,Padi,5.59,3,3,3,14.75,5970.7,237.4,109.9,72.0
Sulawesi Barat,Majene,2022,Bawang Merah,5.45,3,3,4,2.77,11772.5,250.4,135.1,67.1
Kalimantan Barat,Pontianak,2022,Bawang Merah,5.05,1,3,5,4.03,12104.1,265.1,110.3,62.3
Bangka Belitung,Belitung Timur,2022,Jagung,6.69,2,1,3,23.73,7997.8,243.0,112.8,80.8
Kalimantan Tengah,Palangka Raya,2023,Bawang Merah,4.36,5,4,5,4.29,8785.4,234.7,126.6,51.6
Sulawesi Tenggara,Konawe Selatan,2024,Tebu,5.7,1,2,2,53.31,65337.4,272.1,132.1,83.1
Sulawesi Selatan,Bone,2022,Tebu,5.4,3,2,3,10.05,65129.8,250.4,140.5,69.5
Riau,Pelalawan,2023,Bawang Merah,5.61,4,2,2,1.05,13314.1,262.1,120.6,76.6
Kepulauan Riau,Natuna,2020,Tebu,6.11,1,1,4,23.01,84568.5,218.9,124.6,73.2
Kalimantan Barat,Mempawah,2022,Bawang Merah,5.23,1,4,3,2.05,11759.8,279.2,132.5,76.9
Papua Selatan,Boven Digoel,2023,Jagung,6.52,2,4,2,27.95,6994.3,227.5,136.0,85.6
Kalimantan Timur,Samarinda,2023,Cabai Rawit,4.35,2,3,2,4.61,8503.8,236.3,136.3,90.9
Aceh,Bireuen,2025,Jagung,6.19,3,2,1,34.98,7183.6,214.7,133.0,56.0
Papua Barat,Kaimana,2025,Cabai Rawit,5.96,2,2,4,12.17,9253.1,239.1,116.1,90.5
Sulawesi Tengah,Morowali,2020,Jagung,4.88,5,3,1,8.71,7245.8,284.8,142.3,61.4
Kalimantan Timur,Kutai Barat,2021,Jagung,4.49,1,3,3,32.38,6652.5,277.9,117.3,74.6
Kalimantan Barat,Pontianak,2025,Bawang Merah,5.23,2,3,3,1.42,13382.3,246.5,135.1,77.6
Riau,Rokan Hulu,2022,Tebu,5.59,2,4,3,25.24,83523.6,256.7,95.5,74.9
Sumatera Utara,Langkat,2023,Padi,5.36,5,2,3,14.68,6635.3,272.1,124.2,92.5
Kalimantan Tengah,Kotawaringin Timur,2020,Padi,4.32,2,1,3,28.37,5956.3,231.3,115.0,71.9
Papua,Keerom,2025,Jagung,4.69,3,1,2,16.87,5866.3,306.0,120.9,50.7
Papua Selatan,Mappi,2024,Jagung,4.62,3,2,4,47.8,5783.4,218.8,126.0,71.1
DI Yogyakarta,Bantul,2021,Padi,6.07,2,1,4,15.91,5890.6,243.2,88.7,71.9
Papua Tengah,Intan Jaya,2023,Jagung,4.75,3,2,3,31.07,5697.9,251.3,124.6,63.1
Papua Tengah,Deiyai,2023,Padi,5.76,3,2,4,21.72,5040.9,231.8,122.4,71.6
Kalimantan Barat,Kubu Raya,2022,Bawang Merah,5.36,2,2,4,6.67,9545.0,281.6,123.4,73.0
Sumatera Barat,Pasaman,2022,Bawang Merah,5.18,3,1,3,3.2,8329.7,254.4,118.9,83.7
Sulawesi Tengah,Sigi,2022,Jagung,5.21,3,3,3,27.9,6348.1,282.4,108.5,83.4
Bengkulu,Mukomuko,2022,Cabai Rawit,5.79,1,3,2,5.51,8037.7,261.4,135.7,64.4
Sulawesi Barat,Mamuju Tengah,2018,Bawang Merah,5.96,3,2,2,0.6,11808.8,262.2,160.4,79.7
Kalimantan Selatan,Tanah Laut,2024,Tebu,4.89,2,3,2,44.78,59693.3,266.8,127.2,72.9
Maluku,Ambon,2019,Bawang Merah,6.27,3,3,3,4.01,7967.8,236.5,111.9,93.1
Bali,Badung,2025,Tebu,4.51,1,1,3,23.41,58063.3,254.8,98.9,77.1
Papua,Sarmi,2018,Jagung,5.93,2,3,2,27.26,6068.7,279.5,109.4,79.1
Sulawesi Selatan,Sinjai,2019,Cabai Rawit,5.45,2,1,3,2.1,7875.6,262.5,123.1,70.0
Sumatera Selatan,Ogan Ilir,2019,Cabai Rawit,5.49,4,2,3,5.47,10801.2,222.8,120.2,90.5
Jawa Tengah,Klaten,2024,Bawang Merah,6.12,3,3,1,2.52,13449.7,274.0,164.4,86.3
Kalimantan Tengah,Kotawaringin Barat,2023,Tebu,4.2,1,1,3,14.15,75213.8,267.8,117.0,98.7
Papua Selatan,Merauke,2023,Bawang Merah,5.57,2,3,3,3.52,12576.0,215.1,138.2,67.0
DI Yogyakarta,Yogyakarta,2018,Padi,5.62,2,1,3,13.33,5298.2,258.7,121.1,85.0
Bengkulu,Rejang Lebong,2023,Jagung,5.1,1,1,3,17.67,4685.9,268.9,133.4,89.5
Papua Pegunungan,Yalimo,2023,Tebu,5.69,3,1,4,134.36,70817.5,241.7,130.6,62.8
Papua,Mamberamo Raya,2020,Cabai Rawit,4.86,1,2,2,3.03,11153.7,242.3,110.2,91.5
Banten,Lebak,2018,Jagung,5.55,3,3,2,37.01,8178.9,270.9,125.1,75.0
Sulawesi Barat,Mamuju Tengah,2022,Padi,5.63,2,4,4,11.62,6204.9,293.3,123.2,83.4
Jambi,Tanjung Jabung Timur,2024,Jagung,5.89,1,3,2,22.06,4505.2,249.5,101.1,83.7
Kalimantan Timur,Berau,2024,Tebu,4.57,1,2,3,39.69,78465.5,223.1,129.7,69.5
DI Yogyakarta,Yogyakarta,2023,Jagung,5.27,4,1,3,24.98,5840.0,262.7,95.8,78.2
Kepulauan Riau,Batam,2020,Jagung,6.36,1,3,3,29.1,4867.6,255.7,110.1,74.3
Kalimantan Tengah,Palangka Raya,2019,Cabai Rawit,4.2,3,2,3,6.62,9909.3,251.2,141.1,83.1
Sumatera Selatan,Musi Banyuasin,2019,Jagung,6.26,2,2,2,42.79,6161.0,267.1,120.1,68.3
DKI Jakarta,Jakarta Barat,2018,Jagung,5.77,2,3,2,7.29,6063.7,259.6,137.3,74.9
Jawa Timur,Tuban,2021,Bawang Merah,5.11,3,2,3,5.29,9252.8,259.2,121.4,86.3
Bangka Belitung,Belitung,2021,Jagung,4.93,3,3,2,80.0,3984.8,251.1,119.8,81.5
Kalimantan Tengah,Kapuas,2022,Jagung,4.91,3,3,4,31.95,7254.2,225.2,131.1,89.5
Maluku,Buru,2019,Padi,6.0,3,5,3,13.96,7437.1,220.8,106.5,64.8
Kepulauan Riau,Lingga,2025,Padi,5.32,4,3,4,12.33,6500.4,245.2,93.5,71.4
Sumatera Utara,Serdang Bedagai,2019,Cabai Rawit,6.28,2,1,3,4.54,9854.2,254.1,163.4,72.8
Kalimantan Utara,Tana Tidung,2025,Cabai Rawit,5.39,3,3,2,7.05,11946.2,248.3,120.0,81.2
Sulawesi Tenggara,Muna,2022,Padi,6.0,2,1,4,10.93,5029.0,266.7,124.5,79.6
Aceh,Pidie,2023,Jagung,5.25,2,1,3,34.42,6233.2,278.0,113.4,79.9
Kalimantan Selatan,Banjarbaru,2018,Bawang Merah,6.11,2,3,3,7.75,8829.5,232.8,112.2,80.5
Bengkulu,Kepahiang,2022,Padi,4.83,1,2,2,25.58,5755.0,249.6,104.1,101.6
Lampung,Lampung Selatan,2020,Bawang Merah,6.35,2,3,3,4.99,13971.1,264.9,143.9,84.2
Bali,Klungkung,2025,Tebu,6.03,3,3,2,61.41,56356.6,184.2,120.5,94.4
Sumatera Utara,Deli Serdang,2020,Jagung,5.9,1,2,3,47.51,7887.1,238.2,128.3,81.1
Aceh,Pidie,2024,Padi,5.04,3,4,2,9.92,6370.4,263.0,127.0,83.6
DI Yogyakarta,Bantul,2022,Cabai Rawit,6.39,2,2,3,1.26,11589.9,248.7,126.7,85.5
DKI Jakarta,Kep. Seribu,2021,Tebu,6.42,2,2,2,15.4,61186.15911121152,232.6,136.2,80.1
Maluku Utara,Halmahera Tengah,2018,Tebu,5.89,3,4,4,33.73,81802.5,215.3,121.6,73.6
Kalimantan Tengah,Pulang Pisau,2025,Padi,4.58,4,3,3,35.91,5077.0,240.5,137.3,77.2
Gorontalo,Pohuwato,2023,Padi,5.04,2,1,2,14.65,4337.9,245.4,87.5,78.9
Bali,Karangasem,2019,Padi,7.26,1,1,1,37.66,6703.0,251.6,111.5,72.6
Nusa Tenggara Timur,Manggarai,2022,Tebu,6.41,2,4,3,62.3,64583.5,226.2,119.5,81.1
Sumatera Barat,Pasaman,2021,Cabai Rawit,5.55,2,2,4,4.76,6351.8,280.6,105.6,60.2
Jawa Barat,Indramayu,2018,Padi,5.84,1,2,3,28.47,7343.4,238.8,154.9,82.3
Jawa Timur,Surabaya,2022,Tebu,4.8,3,2,3,14.9,51628.8,226.3,128.7,83.7
Bali,Gianyar,2020,Jagung,5.75,3,4,2,26.88,6387.4,249.6,122.0,91.3
Sulawesi Selatan,Parepare,2025,Jagung,5.54,3,3,2,47.66,4145.6,190.3,127.3,87.6
Jambi,Tebo,2019,Padi,5.32,4,3,2,30.16,7274.6,268.8,115.9,78.0
Sulawesi Barat,Mamasa,2018,Cabai Rawit,5.45,2,4,1,2.8,7132.0,258.8,119.6,74.6
Gorontalo,Gorontalo,2023,Cabai Rawit,6.28,4,4,3,3.79,12175.2,255.1,113.0,84.4
Aceh,Aceh Utara,2018,Bawang Merah,5.48,2,3,4,6.16,12467.8,238.9,101.8,79.5
Papua Pegunungan,Wamena,2024,Jagung,5.01,4,2,3,19.51,5276.3,235.9,137.7,88.4
Sulawesi Barat,Polewali Mandar,2022,Cabai Rawit,5.88,5,2,2,2.08,10486.4,221.6,127.6,78.4
Bali,Gianyar,2021,Bawang Merah,5.38,2,3,2,0.95,9753.7,252.9,124.9,83.1
Sumatera Barat,Tanah Datar,2020,Tebu,5.29,3,4,1,28.96,52135.2,227.9,119.1,83.4
Sulawesi Selatan,Maros,2018,Padi,4.65,5,1,2,17.29,4869.7,232.9,85.4,81.2
Papua Barat Daya,Sorong,2018,Jagung,5.58,3,3,3,21.58,7890.0,246.1,123.6,79.5
Bengkulu,Mukomuko,2023,Cabai Rawit,4.72,3,2,3,8.87,9401.4,250.7,131.5,82.0
Kalimantan Timur,Berau,2019,Cabai Rawit,4.55,1,3,2,2.25,8489.0,263.5,122.2,81.1
